track_uri1,album_name,album_uri,artist_name,artist_uri,duration_ms,track_name,track_uri,tid
spotify:track:1Bv0Yl01xBDZD4OQP93fyl,21,spotify:album:4cVVEOXyUaWo7vlDWIkKsI,Omarion,spotify:artist:0f5nVCcR06GX8Qikz0COtT,256426,Ice Box,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,42949672960
spotify:track:49MHzAcdjObyNqKcRVw3vZ,Ugly Cherries,spotify:album:3FrmJL0ehkWgUM2qVXfT2h,PWR BTTM,spotify:artist:5712BvYQ5m5Wcah576OFH4,139482,Serving Goffman,spotify:track:49MHzAcdjObyNqKcRVw3vZ,42949672961
spotify:track:3g2gQMeeQAEPztiQKMlGSl,Pinkerton,spotify:album:3jWhmYMAWw5NvHTTeiQtfl,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,243530,El Scorcho,spotify:track:3g2gQMeeQAEPztiQKMlGSl,42949672962
spotify:track:43O3Iu8mDJy10i6k8SVRXX,Melophobia,spotify:album:4EK8gtQfdVsmDTji7gBFlz,Cage The Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,207320,Take It or Leave It,spotify:track:43O3Iu8mDJy10i6k8SVRXX,42949672963
spotify:track:6oDzrk6RkZ9p2Py7ioozJN,Narst / Love Dub,spotify:album:12EWoslcvT3SZLokRfuHlh,Cooly G,spotify:artist:0XfcR8jVPEm77dOJEN9tvq,215693,Love Dub,spotify:track:6oDzrk6RkZ9p2Py7ioozJN,42949672964
spotify:track:1aQ8HdSmvofR0bjGkpvaKf,Left Is Right,spotify:album:7nYaSlVUHMNvSRzc0guLYy,TroyBoi,spotify:artist:0tvpihdAsKiNnP6sWS3jUI,219000,O.G,spotify:track:1aQ8HdSmvofR0bjGkpvaKf,42949672965
spotify:track:1r8BiPbyYhKaWEXOjMEip4,Inside Llewyn Davis: Original Soundtrack Recording,spotify:album:1HlwBBTjItwW2VN4OG1rin,Oscar Isaac,spotify:artist:5opRYqktzpMFqZ7jtnp7yy,197093,"Green, Green Rocky Road",spotify:track:1r8BiPbyYhKaWEXOjMEip4,42949672966
spotify:track:7Ddh0jbUW6q0O1Mt7IYEPX,The Traveller,spotify:album:1W7jVZLyOKOpmkzqBNXypn,Baaba Maal,spotify:artist:49z6oAiD2RpyUf5yLJs7Nf,266930,There Will Be Time,spotify:track:7Ddh0jbUW6q0O1Mt7IYEPX,42949672967
spotify:track:1SZ5EEmCQ03fRAHnFNYW8N,Stick Around,spotify:album:19NGecACGLBEsTA8Pyi4PG,Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,210285,Stick Around,spotify:track:1SZ5EEmCQ03fRAHnFNYW8N,42949672968
spotify:track:1C4yOUEjCUyPkxRDwwFksG,Planet Waves,spotify:album:3gYbjd76d8T5Ct5WxCxX5R,Bob Dylan,spotify:artist:74ASZWbe4lXaubB36ztrGX,168733,Forever Young - Fast Version,spotify:track:1C4yOUEjCUyPkxRDwwFksG,42949672969
spotify:track:72zmwnbXjx9fMUjw3mbDSs,Signs of Light,spotify:album:0EFitK3T7hqin7iGMbpltM,The Head and the Heart,spotify:artist:0n94vC3S9c3mb2HyNAOcjg,225560,All We Ever Knew,spotify:track:72zmwnbXjx9fMUjw3mbDSs,42949672970
spotify:track:0WTfSVCIpYQLfBJZkDHkte,Donnie McClurkin,spotify:album:6ywrIjrzBJb1WPnmpYfmmn,Donnie McClurkin,spotify:artist:74IEeKcuS34kF2TjOigXra,320400,Stand,spotify:track:0WTfSVCIpYQLfBJZkDHkte,42949672971
spotify:track:5JDcQAztvZTIkrWoZihgvC,The Bedroom Demos,spotify:album:0yVBYSlNkpWuqB9TheUQEm,Ron Pope,spotify:artist:6CmXhyslohOFRJMtPpRm4O,220239,A Drop In The Ocean,spotify:track:5JDcQAztvZTIkrWoZihgvC,42949672972
spotify:track:62FbLMpG27j0z43nd1Hs2I,Text Ur Number (feat. DJ Sliink & Fetty Wap),spotify:album:21xUMwPKn98jlbWEyIspEd,DJ Envy,spotify:artist:63rJq5DaUMq2OhAnh3al79,242135,Text Ur Number (feat. DJ Sliink & Fetty Wap),spotify:track:62FbLMpG27j0z43nd1Hs2I,42949672973
spotify:track:6OPOa3qlKoDUzGpS8MrcLi,"I like it when you sleep, for you are so beautiful yet so unaware of it",spotify:album:1JFmNyVPdBF1ECvv4fhpW4,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,252480,This Must Be My Dream,spotify:track:6OPOa3qlKoDUzGpS8MrcLi,42949672974
spotify:track:5InWRmnfgjVwQWoXHNBATu,Sticks & Stones,spotify:album:0z5qKyh9ys3kk9oLEzgG5l,Cher Lloyd,spotify:artist:4m4SfDVbF5wxrwEjDKgi4k,214013,Want U Back,spotify:track:5InWRmnfgjVwQWoXHNBATu,42949672975
spotify:track:0pLZGVs7apcMzXZoLr8rph,Zombies On Broadway,spotify:album:4scns5rvvp6KbYQgSsQ8Zv,Andrew McMahon in the Wilderness,spotify:artist:716ZwtZBmwROBXcFmCzfdM,204906,Don't Speak For Me (True),spotify:track:0pLZGVs7apcMzXZoLr8rph,42949672976
spotify:track:3wBHlmxdFh1D2BF113cjNU,Sings With The World's Greatest Choirs,spotify:album:0FW9bBppHmS0UGkqa6XdOO,James Cleveland,spotify:artist:5g1lWbZIQ0LCWbKmRJDSSn,367626,I Stood On The Banks Of Jordan,spotify:track:3wBHlmxdFh1D2BF113cjNU,42949672977
spotify:track:2qpTx8CDmR3mBO66wVw9Nq,Trouble In Mind,spotify:album:0c2k2ldJq0CNU1QpMFtufi,Hayes Carll,spotify:artist:6UWifcscEdbjPgmbevBxZV,217306,I Don't Wanna Grow Up,spotify:track:2qpTx8CDmR3mBO66wVw9Nq,42949672978
spotify:track:3YM7FRaoS3GhWqO1z0lh9A,The Silver Toungued Devil And I,spotify:album:4wj7dvOFqAEIiFS1WbpQdw,Kris Kristofferson,spotify:artist:0vYQRW5LIDeYQOccTviQNX,178493,Billy Dee,spotify:track:3YM7FRaoS3GhWqO1z0lh9A,42949672979
spotify:track:42tcDJD6gFl469vffWovWf,You Broke,spotify:album:2qxJ0BZZoA3Nbi179w09gJ,YG,spotify:artist:0A0FS04o6zMoto8OKPsDwY,209786,You Broke,spotify:track:42tcDJD6gFl469vffWovWf,42949672980
spotify:track:1EqJeY2n9HIZxSYsJAGtjz,Strange Mercy,spotify:album:1Lci4bx7JIuCC8pnBNX7ds,St. Vincent,spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,208040,Year Of The Tiger,spotify:track:1EqJeY2n9HIZxSYsJAGtjz,42949672981
spotify:track:34NDtK7itMA8HmAGubMeoV,A Wasteland Companion,spotify:album:5r7zqQbuzqOQFY9QiJqgJy,M. Ward,spotify:artist:6nXSnNEdLuKTzAQozRtqiI,174800,A Wasteland Companion,spotify:track:34NDtK7itMA8HmAGubMeoV,42949672982
spotify:track:1vpkbZQWzv170Rap9lmm1h,Live At Radio City,spotify:album:1t89f8EDdWRWhHpp6OOmtP,Dave Matthews,spotify:artist:13vQloYd6mP7V1mVwKJwS2,389333,Two Step - Live At Radio City,spotify:track:1vpkbZQWzv170Rap9lmm1h,42949672983
spotify:track:6aXz46SzXMH4rSgSghwixD,Listener Supported,spotify:album:0I7fVmbVX3hUDS5ejYTAaf,Dave Matthews Band,spotify:artist:2TI7qyDE0QfyOlnbtfDo7L,109506,#40,spotify:track:6aXz46SzXMH4rSgSghwixD,42949672984
spotify:track:03kCR9HZpX5muU7D8xYPOL,Little Voice,spotify:album:2Z9WUERfMjOgQ6ze9TcGbF,Sara Bareilles,spotify:artist:2Sqr0DXoaYABbjBo9HaMkM,311173,Many the Miles,spotify:track:03kCR9HZpX5muU7D8xYPOL,42949672985
spotify:track:4wq5U3FXRwSy9ZHiEWjZfj,Ultimate Club Dance 90s,spotify:album:1hSXj2r4RtH2MCAR7ffclY,Out Here Brothers,spotify:artist:0yWezB8gKJhdcm8OOearIM,235442,Boom Boom Boom,spotify:track:4wq5U3FXRwSy9ZHiEWjZfj,42949672986
spotify:track:2IkTZYsdDBNYoxaFGb8m5l,Dirty Heads,spotify:album:4xDB9ynqXyGbho8MEjk5sx,Dirty Heads,spotify:artist:6GkJh85o22LfD2vgL9DP6f,213147,That's All I Need,spotify:track:2IkTZYsdDBNYoxaFGb8m5l,42949672987
spotify:track:4PI3sEk50JmiHG5Eh8TqGI,Straight Outta Lynwood,spotify:album:5qNws4KuryY0VNrdtcDwkR,"\"Weird Al\" Yankovic",spotify:artist:1bDWGdIC2hardyt55nlQgG,94346,Weasel Stomping Day,spotify:track:4PI3sEk50JmiHG5Eh8TqGI,42949672988
spotify:track:0nfS2TJUiMyHv0hBpcmmco,MKTO,spotify:album:5IenxFp0vpnXBUxPcwJtbE,MKTO,spotify:artist:2l35CQqtYRh3d8ZIiBep4v,229880,Thank You,spotify:track:0nfS2TJUiMyHv0hBpcmmco,42949672989
spotify:track:5MosvqhyVHyDsgoTmfImDP,Out-Of-State Plates,spotify:album:2WgUYiKZhGfUEXIhH04lfY,Fountains Of Wayne,spotify:artist:1pgtr4nhBQjp9oCUBPyYWh,139306,I Want An Alien For Christmas,spotify:track:5MosvqhyVHyDsgoTmfImDP,42949672990
