track_uri1,album_name,album_uri,artist_name,artist_uri,duration_ms,track_name,track_uri,tid
spotify:track:5FxasBmho2yEvgXrzp9MMW,KWON JI YONG,spotify:album:3TttE8nRMlr9zDewnUbu0c,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,222867,"Untitled, 2014 - KR Ver.",spotify:track:5FxasBmho2yEvgXrzp9MMW,34359738368
spotify:track:5hSr7avqY8cSqiZzhcEOqu,Collected,spotify:album:0Dt2ZVAvap7fkumWhzhlC5,Hooverphonic,spotify:artist:5EP020iZcwBqHRnJftibXX,312093,Inhaler,spotify:track:5hSr7avqY8cSqiZzhcEOqu,34359738369
spotify:track:4OmO3r5F1pWwxExUQhP2xN,"Reggae On The Rocks: Voodoo, Sacraments, Oddities, & Other Holy Anthems",spotify:album:6q34y4q8evj2dtZeCrs75j,Long Beach Dub Allstars,spotify:artist:3zAxGWQqKmDnAsCY57ihKR,166560,Astro Dub,spotify:track:4OmO3r5F1pWwxExUQhP2xN,34359738370
spotify:track:5edBgVtRD0fvWk140Sl21T,Native,spotify:album:1Cm6wsvnTlOXrfI9PkD8i4,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,257266,Counting Stars,spotify:track:5edBgVtRD0fvWk140Sl21T,34359738371
spotify:track:1rUIpUlWtztoo3rVAuSTH4,Cycles of Existential Rhyme,spotify:album:5Jm8y8nnjMIUrsxZ6KjFe3,Chicano Batman,spotify:artist:0LklyUMMUhpIjMgYHlV0hN,281866,Magma,spotify:track:1rUIpUlWtztoo3rVAuSTH4,34359738372
spotify:track:5p3NP9mQblDsVJLdfNZJ3I,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,248826,GOD.,spotify:track:5p3NP9mQblDsVJLdfNZJ3I,34359738373
spotify:track:21HkamszZzQ3xqa3PVBsEq,Remember When,spotify:album:5xzCguZueCPNgl8sp2vR7t,The Orwells,spotify:artist:7ia4FaCVsbXvhVwagCJk7l,232568,Under The Flowers,spotify:track:21HkamszZzQ3xqa3PVBsEq,34359738374
spotify:track:4maiodREzF7MigtHIJxy0E,The Constant One,spotify:album:4fJeL4hdOewP135z0z0xhO,Iron Chic,spotify:artist:5H32ktDvTByY5e4zJpfFTa,294133,Spooky Action At A Distance,spotify:track:4maiodREzF7MigtHIJxy0E,34359738375
spotify:track:2MTuxmkcZPxeAihQmeZ2yb,The Constant One,spotify:album:4fJeL4hdOewP135z0z0xhO,Iron Chic,spotify:artist:5H32ktDvTByY5e4zJpfFTa,255813,A Serious House On Serious Earth,spotify:track:2MTuxmkcZPxeAihQmeZ2yb,34359738376
spotify:track:0c4ICGb0jvszKj3KPR59JU,If I'm Honest,spotify:album:4JmphteFDt5gNZbgraR9Dc,Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw,214800,Every Time I Hear That Song,spotify:track:0c4ICGb0jvszKj3KPR59JU,34359738377
spotify:track:6iWg88k0UH7BjBP2yWXM0i,It Goes Like This,spotify:album:2ZHYOFW5giX6a4n5eqTnUB,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8,199346,Something To Do With My Hands,spotify:track:6iWg88k0UH7BjBP2yWXM0i,34359738378
spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,Finally Famous,spotify:album:2fRLnox9PQ9nos2YYdcYwE,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,220293,Dance (A$$) Remix,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,34359738379
spotify:track:03tqyYWC9Um2ZqU0ZN849H,Flockaveli,spotify:album:6MQtWELG7aRX7CkAzQ6nLM,Waka Flocka Flame,spotify:artist:6f4XkbvYlXMH0QgVRzW0sM,263773,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,spotify:track:03tqyYWC9Um2ZqU0ZN849H,34359738380
spotify:track:718qYmAmIpPucFG88qOYha,"\"I Don't Know What To Call It\" Vol. 1",spotify:album:6m6h4C733ycfTkMz5nJJDe,Young Bleed,spotify:artist:5GQgxUq4MOuXXV99WrRuev,296810,Play It How It Go (feat. Young Bleed),spotify:track:718qYmAmIpPucFG88qOYha,34359738381
spotify:track:7mMtLgGAqsXB84sf57UMUw,William Shatner Has Been,spotify:album:53CfmaDFzVoFdPcU5SjjmB,William Shatner,spotify:artist:2dPqql8xbby3nWuf98mAza,280480,Common People,spotify:track:7mMtLgGAqsXB84sf57UMUw,34359738382
spotify:track:1I8956VUImfafRIuccR9Cq,Reach Out I'll Be There,spotify:album:7KrwyjO26jw7TJaUcJvbz9,Four Tops,spotify:artist:7fIvjotigTGWqjIz6EP1i4,162960,"I Can't Help Myself (Sugar Pie, Honey Bunch) - Album Version (Stereo)",spotify:track:1I8956VUImfafRIuccR9Cq,34359738383
spotify:track:2WzheJclGO0IeUU68hYrTa,We Love Disney,spotify:album:6ZraL1MxnCHfC6eKApMT0L,Kacey Musgraves,spotify:artist:70kkdajctXSbqSMJbQO424,218426,"A Spoonful Of Sugar - From \"Mary Poppins\"",spotify:track:2WzheJclGO0IeUU68hYrTa,34359738384
spotify:track:41pnatAnQ2Ot5pyPiuryhT,Here,spotify:album:7gH0iewMfGuClzbpLY23J8,William Singe,spotify:artist:5exS0bytCYdixgv02DaCm3,121052,Here,spotify:track:41pnatAnQ2Ot5pyPiuryhT,34359738385
spotify:track:27mF2eUbhExYWiOT0y9cuc,"God Forgives, I Don't",spotify:album:1YSb516nyR6ALY2ji1eCAV,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,276160,Diced Pineapples,spotify:track:27mF2eUbhExYWiOT0y9cuc,34359738386
spotify:track:2MKhIM2AgBZ9fBRXthgQRR,Amor Prohibido,spotify:album:6iv9WTw1nhNxSsgKaxMp4E,Selena,spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch,205133,Tus Desprecios,spotify:track:2MKhIM2AgBZ9fBRXthgQRR,34359738387
spotify:track:1BCLtk5xX8H8tdD51hbJ2k,Only King Forever,spotify:album:6ojPMWx8YMfdd2idb8rM9h,Elevation Worship,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix,297133,Mighty Warrior,spotify:track:1BCLtk5xX8H8tdD51hbJ2k,34359738388
spotify:track:51vo4MbGHmzEuW5Nrk6flg,滾石香港黃金十年-任賢齊精選,spotify:album:5oU6DlroxCeM09n1GnoViL,Richie Jen,spotify:artist:0zjNCSqeDIxn63crtDx7G2,189940,對面的女孩看過來,spotify:track:51vo4MbGHmzEuW5Nrk6flg,34359738389
spotify:track:62vpWI1CHwFy7tMIcSStl8,2014 Forest Hills Drive,spotify:album:7viNUmZZ8ztn2UB4XB3jIL,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,292986,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8,34359738390
spotify:track:0tKcYR2II1VCQWT79i5NrW,Evolve,spotify:album:5GlPAy2PRJW06GVFhKwGTl,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,187146,Thunder,spotify:track:0tKcYR2II1VCQWT79i5NrW,34359738391
spotify:track:5dEaQCUCJIQyJs5qVZYXOC,Come Back Home,spotify:album:1G3HTdPaeUIL6l3mo3q8N8,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,244587,Come Back Home,spotify:track:5dEaQCUCJIQyJs5qVZYXOC,34359738392
spotify:track:67iAlVNDDdddxqSD2EZhFs,Sunshine On Leith,spotify:album:5sK78apv4yOoXjxRL4kOdJ,The Proclaimers,spotify:artist:1A92IAcd7A6npCA33oGM5i,219466,I'm Gonna Be (500 Miles),spotify:track:67iAlVNDDdddxqSD2EZhFs,34359738393
spotify:track:13HVjjWUZFaWilh2QUJKsP,Chaos And The Calm,spotify:album:5BxvswQSGWrBbVCdx6mFGO,James Bay,spotify:artist:4EzkuveR9pLvDVFNx6foYD,260533,Let It Go,spotify:track:13HVjjWUZFaWilh2QUJKsP,34359738394
spotify:track:6lvsJDZ7336YmpBzcNGhbe,Mind Of Mine (Deluxe Edition),spotify:album:5amj9zNeZ3B2EdpBgXrOZ0,ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,202213,fOoL fOr YoU,spotify:track:6lvsJDZ7336YmpBzcNGhbe,34359738395
spotify:track:1K9YlxsaqEDqTaGHOdPVRJ,Days,spotify:album:4F6yLWrwSlHv5aZYZ3waAb,Real Estate,spotify:artist:41SQP16hv1TioVYqdckmxT,168493,It's Real,spotify:track:1K9YlxsaqEDqTaGHOdPVRJ,34359738396
spotify:track:5rKEC4enuOXJ37zx9OCz2G,A Donde Voy (feat. Daddy Yankee),spotify:album:3kKlWLC73DT1EZIpd2r6UI,Cosculluela,spotify:artist:00me4Ke1LsvMxt5kydlMyU,246890,A Donde Voy (feat. Daddy Yankee),spotify:track:5rKEC4enuOXJ37zx9OCz2G,34359738397
