track_uri1,album_name,album_uri,artist_name,artist_uri,duration_ms,track_name,track_uri,tid
spotify:track:4nZLpgrDO1O8mXI1sPNHov,Out of the Shadow,spotify:album:6HqU5Tckb8sF6Gj2CRPla2,Rogue Wave,spotify:artist:2JSc53B5cQ31m0xTB7JFpG,135746,Every Moment,spotify:track:4nZLpgrDO1O8mXI1sPNHov,51539607552
spotify:track:35weSxL477aChs1wx7oZS5,Revolution Radio,spotify:album:5a3LqvNt2nv1B4aRKXmgOV,Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY,182893,Ordinary World,spotify:track:35weSxL477aChs1wx7oZS5,51539607553
spotify:track:70tFuqBcduJv15bEnOPRTh,Finally Famous,spotify:album:19DGkH750PrQMMnKqBAxfY,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh,254120,My Last,spotify:track:70tFuqBcduJv15bEnOPRTh,51539607554
spotify:track:3CEyM9wliTj7TeuuG84KZU,Help,spotify:album:4PcOLASOD0VikPG4yB3bxg,blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,216774,Verbatim,spotify:track:3CEyM9wliTj7TeuuG84KZU,51539607555
spotify:track:7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),spotify:album:4sBgGazGb7S9ZUQJu2Y0qa,Louis Tomlinson,spotify:artist:57WHJIHrjOE3iAxpihhMnp,190427,Back to You (feat. Bebe Rexha & Digital Farm Animals),spotify:track:7F9vK8hNFMml4GtHsaXui6,51539607556
spotify:track:4BqYQ1WQ0GFE1xmIaduKLi,Hail to the King,spotify:album:0ks45m1bsP2JsZpM5D2FFA,Avenged Sevenfold,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs,356306,Planets,spotify:track:4BqYQ1WQ0GFE1xmIaduKLi,51539607557
spotify:track:28r8mD037GEBPG5a65YdDQ,Keep It 100,spotify:album:70KMAuOp2QgMO5eGlF602w,Keys N Krates,spotify:artist:6c1pBXHYjFcGQQNO5MMsdd,214137,Keep It 100,spotify:track:28r8mD037GEBPG5a65YdDQ,51539607558
spotify:track:1QEhJDZuVfhsTMVBP5Ws45,Promesses,spotify:album:17xs4PtoDZKduywtbwjjsM,Tchami,spotify:artist:1KpCi9BOfviCVhmpI4G2sY,159572,Promesses,spotify:track:1QEhJDZuVfhsTMVBP5Ws45,51539607559
spotify:track:4IWGnyOHDrVZEtPWfs4s7q,The Perfect LUV Tape,spotify:album:6LX75kNicFqjjiAOeZgN67,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,175203,Do What I Want,spotify:track:4IWGnyOHDrVZEtPWfs4s7q,51539607560
spotify:track:5CgFGKdTn8R5dXGEPEX6Gm,The Definition,spotify:album:7EOvtHDxbltA0GNC4mvLAC,Jon Bellion,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,243458,Luxury,spotify:track:5CgFGKdTn8R5dXGEPEX6Gm,51539607561
spotify:track:4tCtwWceOPWzenK2HAIJSb,7/27,spotify:album:0pF0oyuPNdOObniB1Ng0kW,Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,214480,Work from Home,spotify:track:4tCtwWceOPWzenK2HAIJSb,51539607562
