track_uri1,album_name,album_uri,artist_name,artist_uri,duration_ms,track_name,track_uri,tid
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,In The Zone,spotify:album:0z7pVBGOD7HCIB7S8eLkLI,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,198800,Toxic,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,60129542144
spotify:track:3QZ7uX97s82HFYSmQUAN1D,Moving Pictures,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,Rush,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,276880,Tom Sawyer,spotify:track:3QZ7uX97s82HFYSmQUAN1D,60129542145
spotify:track:5pBqIndYOFIWDQPu035Etz,soft & wet,spotify:album:1NPw3LL7EKyNuWg75euyFk,Meltycanon,spotify:artist:3agnCimLdkVM3mc4PFJUxC,151662,Veldt,spotify:track:5pBqIndYOFIWDQPu035Etz,60129542146
spotify:track:3kdSHY9ZQIjyg4Q68YG4Qz,Dead Man's Party,spotify:album:44Q1H1q6nSnUnjjGPoxAJb,Oingo Boingo,spotify:artist:5LXEAEGrpKQtpyCu2sZuWu,254773,No One Lives Forever,spotify:track:3kdSHY9ZQIjyg4Q68YG4Qz,60129542147
spotify:track:0CAfXk7DXMnon4gLudAp7J,Mail On Sunday,spotify:album:5j1wrOAOm5KFd17pPiSvle,Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,231400,Low (feat T-Pain) - Feat T-Pain Album Version,spotify:track:0CAfXk7DXMnon4gLudAp7J,60129542148
spotify:track:6SKwQghsR8AISlxhcwyA9R,Doo-Wops & Hooligans,spotify:album:6J84szYCnMfzEcvIcfWMFL,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,230120,Marry You,spotify:track:6SKwQghsR8AISlxhcwyA9R,60129542149
spotify:track:2771LMNxwf62FTAdpJMQfM,Bodak Yellow,spotify:album:1wpgafbHuQfSUmCWvahFlq,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB,223962,Bodak Yellow,spotify:track:2771LMNxwf62FTAdpJMQfM,60129542150
spotify:track:16xIGOpadMacj7UtG7ZhS8,Luca Brasi 2: Gangsta Grillz,spotify:album:4if4IsX36odNlcZF2kqgt3,Kevin Gates,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,181024,Break The Bitch Down (feat. K. Camp),spotify:track:16xIGOpadMacj7UtG7ZhS8,60129542151
spotify:track:6vECYJHxYmm3Ydt3fF01pE,Sadnecessary,spotify:album:5D20ZzsNB377xbshIFP9Nb,Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs,313684,Stolen Dance,spotify:track:6vECYJHxYmm3Ydt3fF01pE,60129542152
spotify:track:4Z1fbYp0HuxLBje4MOZcSD,Please Please Me,spotify:album:7gDXyW16byCQOgK965BRzn,The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,155226,Twist And Shout - Remastered 2009,spotify:track:4Z1fbYp0HuxLBje4MOZcSD,60129542153
spotify:track:1C0vXECyJHUeqOo2Etvrr2,Fallen,spotify:album:20mh1X1FQQidKMu2XypyMI,Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,262533,My Immortal,spotify:track:1C0vXECyJHUeqOo2Etvrr2,60129542154
spotify:track:56rtYZUhNQ9Xt95mfE1qNE,Content Nausea,spotify:album:0Zj7AxTX3Q312lz6GLFTrt,Parquet Courts,spotify:artist:23NIwARd4vPbxt3wwNnJ6k,59093,Kevlar Walls,spotify:track:56rtYZUhNQ9Xt95mfE1qNE,60129542155
spotify:track:3ThoNs4xBJMflCJqfT6XSF,Coco,spotify:album:7LxRHjK4Lm3CJSyLY9wsec,Colbie Caillat,spotify:artist:6aZyMrc4doVtZyKNilOmwu,215933,Bubbly - Solo Acoustic,spotify:track:3ThoNs4xBJMflCJqfT6XSF,60129542156
spotify:track:1XGmzt0PVuFgQYYnV2It7A,Overexposed Track By Track,spotify:album:6ijGiBcBfUwkoyHn5VUHU2,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,231173,Payphone,spotify:track:1XGmzt0PVuFgQYYnV2It7A,60129542157
spotify:track:1fmi1hOBtH8xfUiWz4LVtE,My Kind Of Livin',spotify:album:4ovUdHrbzwtbtKMyU997Hl,Craig Morgan,spotify:artist:6ktyNEnEukKzskQEiXgCFD,201493,That's What I Love About Sunday,spotify:track:1fmi1hOBtH8xfUiWz4LVtE,60129542158
spotify:track:2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),spotify:album:46yAYzRhSMPA44m0MzSr6g,Noah Cyrus,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,242081,Make Me (Cry),spotify:track:2BrzlUj1u1CtvaJDGIKpsP,60129542159
spotify:track:0mA9zcTsjqoJVGIlAGyV3m,Wide Open,spotify:album:4Bhif8EJKTZaDF9hTqNysh,Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH,254040,Fast,spotify:track:0mA9zcTsjqoJVGIlAGyV3m,60129542160
spotify:track:6eFahAdQgABBj1XOM99cBG,Whatever,spotify:album:0UkgnXc0w7qiRE2X086BdN,Hot Chelle Rae,spotify:artist:6jTnHxhb6cDCaCu4rdvsQ0,188200,I Like It Like That,spotify:track:6eFahAdQgABBj1XOM99cBG,60129542161
spotify:track:2HiXyVv2tfjIGJh02brVDY,Spring Break...Here To Party,spotify:album:54ZCcmTHjghuPkzFYJzPGf,Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I,234360,Suntan City,spotify:track:2HiXyVv2tfjIGJh02brVDY,60129542162
spotify:track:5hc71nKsUgtwQ3z52KEKQk,"I like it when you sleep, for you are so beautiful yet so unaware of it",spotify:album:1JFmNyVPdBF1ECvv4fhpW4,The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,347520,Somebody Else,spotify:track:5hc71nKsUgtwQ3z52KEKQk,60129542163
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,spotify:album:5OkxLN5XaE9rLbgK2FuKBE,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,275226,0 To 100 / The Catch Up,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,60129542164
spotify:track:5Msp7XlWAYQhK4khlfzMPL,Rwby Volume 1 Soundtrack,spotify:album:56Ui2IY7Wb73D5MLMdSeqD,Jeff Williams,spotify:artist:6jy0VQ5tLwEKBeMxZ1aK4J,188259,This Will Be the Day (feat. Casey Lee Williams),spotify:track:5Msp7XlWAYQhK4khlfzMPL,60129542165
spotify:track:2RYjte6fWX1JZRszMkOkD0,Fuck This Shit I'm Out,spotify:album:11Xp9CAhq133mJcZBJbZwM,The Theme Song,spotify:artist:0o7cNzlOq45tjWDu25j838,25260,Fuck This Shit I'm Out,spotify:track:2RYjte6fWX1JZRszMkOkD0,60129542166
spotify:track:0wfiSLAkdape2Tcw5TGZ0c,Island Party,spotify:album:4KbmhQwrtBzu8KoXUe6bYV,Tropixx,spotify:artist:4ys2PrxCuTjrYcU4mxtOSF,241955,Island Party,spotify:track:0wfiSLAkdape2Tcw5TGZ0c,60129542167
